username, user_id,food_item,rating,review
DSX,313141511141195777,allergen free halal chicken thigh,0,vegetarian
Sh4d0w,278191353261981696,coffee + bubly,10,W rizz
nmarks,184004745416015872,chicken,9,is good
Sh4d0w,278191353261981696,Allergen Free Halal Chicken Thigh,10,I LOVE ALLERGEN FREE HALAL CHICKEN THIGHS
Sh4d0w,278191353261981696,Allergen Free Halal Chicken Thigh,1,hi
Sh4d0w,278191353261981696,Allergen Free Halal Chicken Thigh,10,a
Sh4d0w,278191353261981696,Allergen Free Halal Chicken Thigh,10,best food 10/10
Sh4d0w,278191353261981696,Allergen Free Halal Chicken Thigh,10,best food 10/10
Sh4d0w,278191353261981696,Lemon Poppy Seed Cake,10,best food 10/10
Sh4d0w,278191353261981696,Chicken,10,best food 10/10,
Sh4d0w,278191353261981696,Allergen Free Halal Chicken Thigh,2,ock
Sh4d0w,278191353261981696,Tofu with Kosher Salt,2,a
Sh4d0w,278191353261981696,Tof,2,a
Sh4d0w,278191353261981696,Tofu with Kosher Salt,10,asdadsadsdv
